Created Output Log File: /workdir/tasks_run/data/rifg_logs/p004_rifg_task_20240914_00h18m26s.csv
====== whole_session_data ======
script_starting_time,2024-09-14 00:18:06.816742
sambashare_dir_path,/workdir/tasks_run/data/sambashare
starting_block,1
retries_before_ending,3
pid,p004
dicom_dir_path,/workdir/tasks_run/data/sambashare/test_dir
n_trials,10
ISI_min,250
ISI_max,1250
ISI_step,250
output_log_dir,/workdir/tasks_run/data/rifg_logs/p004_rifg_task_20240914_00h18m09s.txt
experimenter_screen_width,3390
experimenter_screen_height,1044
second_monitor_width,1920
second_monitor_height,1080
monitor_X_OFFSET,1920
monitor_Y_OFFSET,0
buzz_width,320
buzz_height,360
alien_width,480
alien_height,270
press_a_width,600
press_a_height,400
fixation_width,200
fixation_height,200
ending_cause,keyboard_interrupt
====== trial1 ======
ISI,250
trial_type,buzz
start_time,1726287498.7429812
pressed_a_num_of_times,0
result,miss
full_second_has_passed,True
====== trial2 ======
ISI,500
trial_type,alien
start_time,1726287500.315007
pressed_a_num_of_times,0
result,correct rejection
full_second_has_passed,True
====== trial3 ======
ISI,1000
trial_type,buzz
start_time,1726287502.381591
pressed_a_num_of_times,0
result,miss
full_second_has_passed,True
====== trial4 ======
ISI,500
trial_type,buzz
start_time,1726287503.949979
pressed_a_num_of_times,0
result,miss
full_second_has_passed,True
====== trial5 ======
ISI,500
trial_type,buzz
start_time,1726287505.5132067
