Created Output Log File: /workdir/tasks_run/data/rifg_logs/p06_rifg_task_20240916_12h14m40s.csv
====== whole_session_data ======
script_starting_time,2024-09-16 12:14:08.943779
sambashare_dir_path,/workdir/tasks_run/data/sambashare
starting_block,1
retries_before_ending,3
pid,p06
dicom_dir_path,/workdir/tasks_run/data/sambashare/P004_list4_dicoms
n_trials,10
ISI_min,250
ISI_max,1250
ISI_step,250
output_log_dir,/workdir/tasks_run/data/rifg_logs/p06_rifg_task_20240916_12h14m10s.txt
experimenter_screen_width,3390
experimenter_screen_height,1080
second_monitor_width,1920
second_monitor_height,1080
monitor_X_OFFSET,1920
monitor_Y_OFFSET,0
buzz_width,320
buzz_height,360
bear_width,320
bear_height,360
press_a_width,600
press_a_height,400
fixation_width,200
fixation_height,200
ending_cause,undocumented or regular
====== trial1 ======
ISI,250
trial_type,buzz
start_time,1726503259.2662683
pressed_a_num_of_times,0
result,miss
full_second_has_passed,True
====== trial2 ======
ISI,500
trial_type,bear
start_time,1726503260.81226
pressed_a_num_of_times,0
result,correct rejection
full_second_has_passed,True
====== trial3 ======
ISI,1000
trial_type,buzz
start_time,1726503262.8554232
pressed_a_num_of_times,0
result,miss
full_second_has_passed,True
====== trial4 ======
ISI,500
trial_type,buzz
start_time,1726503264.3932173
pressed_a_num_of_times,0
result,miss
full_second_has_passed,True
====== trial5 ======
ISI,500
trial_type,buzz
start_time,1726503265.929216
pressed_a_num_of_times,0
result,miss
full_second_has_passed,True
====== trial6 ======
ISI,500
trial_type,buzz
start_time,1726503267.479143
pressed_a_num_of_times,0
result,miss
full_second_has_passed,True
====== trial7 ======
ISI,500
trial_type,buzz
start_time,1726503269.0181463
pressed_a_num_of_times,0
result,miss
full_second_has_passed,True
====== trial8 ======
ISI,250
trial_type,buzz
start_time,1726503270.3072996
pressed_a_num_of_times,0
result,miss
full_second_has_passed,True
====== trial9 ======
ISI,1000
trial_type,buzz
start_time,1726503272.3463628
pressed_a_num_of_times,0
result,miss
full_second_has_passed,True
====== trial10 ======
ISI,750
trial_type,bear
start_time,1726503274.1431925
pressed_a_num_of_times,0
result,correct rejection
full_second_has_passed,True
